,e1
0,1.01567460195644
1,0.8474154813883069
2,0.9871039314850013
3,0.520870818246797
4,0.3911867504694221
5,1.1432629106864733
6,1.2447158224345476
7,1.134013467655786
8,0.7549809301797934
9,1.3456498486881194
10,0.4748235527968177
11,0.9489132118240621
12,0.689066933917434
13,-0.5847264704016772
14,0.6326941993137032
15,0.42448581596772256
16,1.3121111211381125
17,1.0459809968270253
18,0.8678251849765195
19,0.6660368562474677
20,0.10905434414601049
21,0.5482251390523686
22,0.5218991427737291
23,1.0501616936778844
24,1.0604105117924956
25,0.5856234866237612
26,0.8994087098759632
27,0.6173443182050993
28,0.6115199045010166
29,0.5487270004113518
30,0.8948323132899542
31,0.575245165061756
32,0.5279221453245077
33,1.273634512403492
34,0.5769705857777092
35,1.3858147941612808
36,1.076551101806519
37,1.0181889360715484
38,0.8710759785429604
39,0.7094127856634584
40,1.031152415322864
41,1.069313410259212
42,1.0326786687960228
43,0.912992675634806
44,0.41764241690216064
45,2.070978598324181
46,0.5060672333360198
47,0.543968844062185
48,0.8898796786994887
49,0.5348133075921002
50,0.7935169822512397
51,0.870909430621402
52,1.6749470682518726
53,0.8971226121914364
54,0.6182474861597571
55,0.9043343559766233
56,0.48951639170071637
57,1.254512855318942
58,0.40509375484970395
59,0.8482318247816548
60,0.2971765656400991
61,0.7812816373441163
62,0.8185715106652648
63,1.0713146234280126
64,1.6834674713989357
65,0.18155902944542102
66,0.9930685728225859
67,0.7674749280191336
68,1.1277250249993223
69,0.8056045154402927
70,0.8373492954809194
71,0.6771134182256087
72,0.94844481735753
73,0.7494541305629566
74,1.8078356544339313
75,1.1297787735943472
76,0.15009089458708907
77,0.8031933749142127
78,0.6996232685333141
79,0.7354575127013782
80,1.1339660497463235
81,1.2754784074036847
82,0.989350706528417
83,0.046190161110882304
84,0.5506598839190887
85,1.704927328939082
86,0.065026633439583
87,0.9562685785173854
88,-0.13420372588673854
89,0.9008106331307081
90,1.3478001523800327
91,0.3367040724912038
92,0.5593096132089475
93,1.1574756637355688
94,0.6270238140882112
95,0.4166450068989303
96,1.3139158308265757
97,1.0467032730086245
98,0.4192380208311515
99,0.2468000783938713
100,2.258965640086222
101,0.19628676529793868
102,1.674111544759648
103,1.0640812736766307
104,1.399529408402949
105,0.8887705762082232
106,0.648286732944594
107,0.19142334601229716
108,1.0909132463089763
109,0.6103322106298883
110,0.7970356624161012
111,1.1300023270433621
112,0.9689365662748206
113,1.0234038226064133
114,1.5214387118982815
115,1.3683644151747443
116,0.9380079459540566
117,0.8982183562316837
118,1.145656443564869
119,0.2729300118144426
120,1.6238891541445981
121,0.1472179328659601
122,0.7762941734507822
123,0.6363252722914047
124,1.2005651921238973
125,0.9863866793560943
126,1.0243600010437828
127,1.154920482777534
128,1.3665003467964894
129,1.4769424518262455
130,0.4718752813751017
131,1.163946648913548
132,1.003839370672729
133,0.29858050171621925
134,1.0053624003991202
135,0.2996912921073187
136,1.0299005091702007
137,1.3908987667664654
138,1.031481005315412
139,0.5149400845358671
140,0.26874367385436204
141,0.4233507866148951
142,0.6208838629312987
143,0.46976858380063646
144,0.14738829828495645
145,0.8679987147311249
146,0.8223414250103266
147,1.2581376022328497
148,1.1588150460348148
149,1.0893935358765787
150,1.0125568780754723
151,0.5103150114595741
152,1.0343525053303593
153,0.20701085204347663
154,0.5926938560231721
155,1.5591506223939784
156,0.954335684535846
157,1.3140655136966133
158,0.8401555387936923
159,-0.028699254696868255
160,1.4143893679969681
161,1.4657716104111864
162,-0.1267553078315768
163,0.3199306240156334
164,1.179664381790944
165,1.0426136846592566
166,0.3307383500831214
167,0.5555765343903666
168,0.7733536563837142
169,0.9115202133221855
170,0.7119953135938445
171,-0.33646801944631927
172,1.040567930960533
173,0.9491797389481784
174,1.1316347301917793
175,0.9972323172120079
176,0.7431864676647695
177,1.0963459967917
178,0.07713705501218365
179,0.8488800671098728
180,0.9727137742510147
181,1.013358434576762
182,1.1296300487853184
183,1.2094470278246292
184,1.030190362679029
185,1.4832991289752369
186,1.420971010887024
187,0.6284605254200991
188,0.9084929196155108
189,0.7178728918072719
190,0.2852135958347116
191,0.511708953011455
192,0.6113762208962576
193,1.543481111764108
194,1.356568361627271
195,0.35656484491539936
196,0.3871884894873055
197,1.1378459756527755
198,0.7674892822574024
199,0.7452875815909513
200,1.3286337124684238
201,0.822480958606656
202,-0.2344239395257147
203,0.9616792423224365
204,0.8586993244713813
205,0.8438798273675971
206,-0.04810199459880592
207,0.6967612496324501
208,0.025659890622403633
209,1.8685590919081438
210,0.8072153988332017
211,1.0129926355245926
212,1.3358761915265684
213,0.5869809261322974
214,1.2577565264713308
215,0.5994346284398117
216,0.385668446125398
217,0.6091343089763825
218,0.7500183623535365
219,1.2693893045349929
220,0.3044873267339909
221,1.2831885751809444
222,0.9577346144968271
223,0.41571354819937034
224,0.6483141349349902
225,0.5679850445714268
226,0.7217125651673747
227,1.3305713182701115
228,0.9125429514901116
229,1.265167042440903
230,1.2839924478851452
231,0.6676947888245894
232,1.6085540477117994
233,1.57801794788216
234,1.224247950786836
235,0.48648822273595793
236,0.741982369719104
237,0.8063953315711903
238,0.9768370527432094
239,0.34625382492145484
240,1.0131883362534597
241,0.49506427476188225
242,0.37627543541136577
243,1.1931727027168941
244,0.097189128309613
245,0.9767122989711702
246,0.6375832433911715
247,1.0364527111101922
248,1.071126244673929
249,0.2680607111127558
250,0.7816990000935967
251,1.3861854932627182
252,0.8931490538239358
253,0.4067952832653782
254,1.3783471812691979
255,1.044869808296099
256,1.3535068067908462
257,0.9529383285248243
258,1.0285304302244538
259,0.9383518811237581
260,0.9334299641480703
261,1.0614098318493275
262,0.6553900543210264
263,0.18999296228367132
264,1.1368332359684445
265,1.3166489278921123
266,0.4894333441663533
267,1.0555965204986864
268,0.08762355872042452
269,1.1342305292538553
270,1.321908636031686
271,1.0890382319341363
272,1.1190416599161805
273,1.3344473566274968
274,1.3001354480870388
275,0.31781373202930596
276,0.4831282537206236
277,2.0120623686622463
278,0.13720134924507113
279,0.71206695621909
280,1.01852729939676
281,0.24532992757218927
282,1.2444736075830214
283,0.6157629811485158
284,1.2776731919009872
285,0.7308563140950595
286,0.722904715068886
287,1.4809871841716524
288,0.8429855043407516
289,0.3320278685983006
290,1.158387800326968
291,0.669261794997157
292,0.628592011393287
293,0.5636115202686709
294,1.0218612772876774
295,0.8638532125251017
296,0.8941128483755495
